hora,cpu,ram,disco,net_enviada,net_recibida
2026-05-11 19:43:00,6.7,75.7,22.7,523954485,2274359882
2026-05-11 19:43:01,2.2,75.6,22.7,523954485,2274361536
2026-05-11 19:43:02,2.5,75.7,22.7,523954556,2274361704
2026-05-11 19:43:03,3.9,75.7,22.7,523963236,2274367004
2026-05-11 19:43:04,2.7,75.7,22.7,523967370,2274375679
2026-05-11 19:43:05,3.3,75.6,22.7,523969552,2274384732
2026-05-11 19:43:06,1.1,75.6,22.7,523969850,2274386528
2026-05-11 19:43:07,4.2,75.6,22.7,523969850,2274387100
2026-05-11 19:43:08,1.5,75.6,22.7,523969992,2274387396
2026-05-11 19:43:09,1.6,75.6,22.7,523969992,2274387498
2026-05-11 19:43:10,5.5,75.6,22.7,523969992,2274387600
2026-05-11 19:43:11,3.1,75.6,22.7,523970063,2274387709
2026-05-11 19:43:12,2.9,75.6,22.7,523970153,2274388011
2026-05-11 19:43:13,3.0,75.6,22.7,523970208,2274388179
2026-05-11 19:43:14,2.1,75.6,22.7,523972339,2274394038
2026-05-11 19:43:15,2.4,75.6,22.7,523972339,2274394140
2026-05-11 19:43:16,1.8,75.6,22.7,523972339,2274394302
2026-05-11 19:43:17,2.0,75.6,22.7,523972339,2274394868
2026-05-11 19:43:18,2.7,75.6,22.7,523972410,2274394978
2026-05-11 19:43:19,2.7,75.5,22.7,523972410,2274395080
2026-05-11 19:43:20,3.4,75.5,22.7,523972410,2274395506
2026-05-11 19:43:21,1.7,75.4,22.7,523972410,2274395608
2026-05-11 19:43:22,2.8,75.4,22.7,523972500,2274395790
2026-05-11 19:43:23,2.6,75.4,22.7,523972500,2274395994
2026-05-11 19:43:24,1.3,75.4,22.7,523972861,2274396325
2026-05-11 19:43:25,2.7,75.4,22.7,523973145,2274396691
2026-05-11 19:43:26,4.4,75.4,22.7,523973369,2274397063
2026-05-11 19:43:27,2.6,75.4,22.7,523973440,2274397797
2026-05-11 19:43:28,2.3,75.4,22.7,523973440,2274397857
